state,local,mean,,,,,,,,,,,,,,,,
Borno,Gubio,171860.1275,,,,,,,,,,,,,,,,
Borno,Guzamala,127734.4799,,,,,,,,,,,,,,,,
Borno,Gwoza,276180.7135,,,,,,,,,,,,,,,,
Borno,Hawul,253529.6761,,,,,,,,,,,,,,,,
Borno,Jere,445745.4384,,,,,,,,,,,,,,,,
Borno,Kaga,130899.3899,,,,,,,,,,,,,,,,
Borno,Kala-Balge,67193.308,,,,,,,,,,,,,,,,
Borno,Konduga,194740.7099,,,,,,,,,,,,,,,,
Borno,Kukawa,136617.853,,,,,,,,,,,,,,,,
Borno,Kwaya Kusar,132714.4587,,,,,,,,,,,,,,,,
Borno,Mafa,141063.0577,,,,,,,,,,,,,,,,
Borno,Magumeri,272045.2321,,,,,,,,,,,,,,,,
Borno,Maiduguri,635562.262,,,,,,,,,,,,,,,,
Borno,Marte,154938.5883,,,,,,,,,,,,,,,,
Borno,Mobbar,192501.7927,,,,,,,,,,,,,,,,
Borno,Monguno,186832.2079,,,,,,,,,,,,,,,,
Borno,Ngala,145226.4957,,,,,,,,,,,,,,,,
Borno,Nganzai,143482.0664,,,,,,,,,,,,,,,,
Borno,Shani,229340.1423,,,,,,,,,,,,,,,,
Cross River,Abi,104224.5216,,,,,,,,,,,,,,,,
Cross River,Akamkpa,113083.7172,,,,,,,,,,,,,,,,
Cross River,Akpabuyo,150813.4611,,,,,,,,,,,,,,,,
Cross River,Bakassi,19336.9218,,,,,,,,,,,,,,,,
Cross River,Bekwarra,206947.6159,,,,,,,,,,,,,,,,
Cross River,Biase,102120.1199,,,,,,,,,,,,,,,,
Cross River,Boki,186000.0195,,,,,,,,,,,,,,,,
Cross River,Calabar Municipal,116264.7902,,,,,,,,,,,,,,,,
Cross River,Calabar South,468435.1919,,,,,,,,,,,,,,,,
Cross River,Etung,56484.5846,,,,,,,,,,,,,,,,
Cross River,Ikom,207818.667,,,,,,,,,,,,,,,,
Cross River,Obanliku,139015.9681,,,,,,,,,,,,,,,,
Cross River,Obubra,139957.2753,,,,,,,,,,,,,,,,
Cross River,Obudu,169041.6584,,,,,,,,,,,,,,,,
Cross River,Odukpani,229780.6389,,,,,,,,,,,,,,,,
Cross River,Ogoja,181443.2738,,,,,,,,,,,,,,,,
Cross River,Yakurr,166451.1264,,,,,,,,,,,,,,,,
Cross River,Yala,212311.1729,,,,,,,,,,,,,,,,
Delta,Aniocha North,115125.7639,,,,,,,,,,,,,,,,
Delta,Aniocha South,175655.2,,,,,,,,,,,,,,,,
Delta,Bomadi,38411.9059,,,,,,,,,,,,,,,,
Delta,Burutu,56573.5592,,,,,,,,,,,,,,,,
Delta,Ethiope East,153983.2985,,,,,,,,,,,,,,,,
Delta,Ethiope West,217226.3796,,,,,,,,,,,,,,,,
Delta,Ika North East,138841.2073,,,,,,,,,,,,,,,,
Delta,Ika South,212473.0897,,,,,,,,,,,,,,,,
Delta,Isoko North,144938.9699,,,,,,,,,,,,,,,,
Delta,Isoko South,119714.3161,,,,,,,,,,,,,,,,
Delta,Ndokwa East,63546.1978,,,,,,,,,,,,,,,,
Delta,Ndokwa West,172683.9772,,,,,,,,,,,,,,,,
Delta,Okpe,100075.3753,,,,,,,,,,,,,,,,
Delta,Oshimili North,238649.4999,,,,,,,,,,,,,,,,
Delta,Oshimili South,197977.6817,,,,,,,,,,,,,,,,
Delta,Patani,27791.0131,,,,,,,,,,,,,,,,
Delta,Sapele,234314.3093,,,,,,,,,,,,,,,,
Delta,Udu,200128.0998,,,,,,,,,,,,,,,,
Delta,Ughelli North,316911.4894,,,,,,,,,,,,,,,,
Delta,Ughelli South,130100.252,,,,,,,,,,,,,,,,
Delta,Ukwuani,112091.4528,,,,,,,,,,,,,,,,
Delta,Uvwie,219953.1106,,,,,,,,,,,,,,,,
Delta,Warri North,35259.6832,,,,,,,,,,,,,,,,
Delta,Warri South-West,7330.4822,,,,,,,,,,,,,,,,
Delta,Warri South,235394.9836,,,,,,,,,,,,,,,,
Ebonyi,Abakaliki,209435.7015,,,,,,,,,,,,,,,,
Ebonyi,Afikpo North,179701.0279,,,,,,,,,,,,,,,,
Ebonyi,Afikpo South,97846.9439,,,,,,,,,,,,,,,,
Ebonyi,Ebonyi,339494.7243,,,,,,,,,,,,,,,,
Ebonyi,Ezza North,103808.4696,,,,,,,,,,,,,,,,
Ebonyi,Ezza South,111714.3004,,,,,,,,,,,,,,,,
Ebonyi,Ikwo,355238.0451,,,,,,,,,,,,,,,,
Ebonyi,Ishielu,137950.5077,,,,,,,,,,,,,,,,
Ebonyi,Ivo,143742.2859,,,,,,,,,,,,,,,,
Ebonyi,Izzi,486500.6744,,,,,,,,,,,,,,,,
Ebonyi,Ohaozara,193927.4906,,,,,,,,,,,,,,,,
Ebonyi,Ohaukwu,236376.7022,,,,,,,,,,,,,,,,
Ebonyi,Onicha,175794.9817,,,,,,,,,,,,,,,,
Edo,Akoko-Edo,126441.257,,,,,,,,,,,,,,,,
Edo,Egor,545306.6287,,,,,,,,,,,,,,,,
Edo,Esan Central,108583.4243,,,,,,,,,,,,,,,,
Edo,Esan North-East,177680.8083,,,,,,,,,,,,,,,,
Edo,Esan South-East,75780.5871,,,,,,,,,,,,,,,,
Edo,Esan West,157251.7167,,,,,,,,,,,,,,,,
Edo,Etsako Central,79365.1006,,,,,,,,,,,,,,,,
Edo,Etsako East,121197.8272,,,,,,,,,,,,,,,,
Edo,Etsako West,223420.4155,,,,,,,,,,,,,,,,
Edo,Iguegben,53344.5201,,,,,,,,,,,,,,,,
Edo,Ikpoba-Okha,826000.1532,,,,,,,,,,,,,,,,
Edo,Oredo,495685.3049,,,,,,,,,,,,,,,,
Edo,Orhionmwon,142292.2916,,,,,,,,,,,,,,,,
Edo,Ovia North-East,238742.5167,,,,,,,,,,,,,,,,
Edo,Ovia South-West,113198.9258,,,,,,,,,,,,,,,,
Edo,Owan East,97431.8807,,,,,,,,,,,,,,,,
Edo,Owan West,71964.6956,,,,,,,,,,,,,,,,
Edo,Uhunmwonde,366680.6406,,,,,,,,,,,,,,,,
Ekiti,Ado-Ekiti,563308.2752,,,,,,,,,,,,,,,,
Ekiti,Efon,55118.8644,,,,,,,,,,,,,,,,
Ekiti,Ekiti East,111712.0324,,,,,,,,,,,,,,,,
Ekiti,Ekiti South-West,67470.3555,,,,,,,,,,,,,,,,
Ekiti,Ekiti West,111331.8548,,,,,,,,,,,,,,,,
Ekiti,Emure,64423.5307,,,,,,,,,,,,,,,,
Ekiti,Gbonyin,91611.8421,,,,,,,,,,,,,,,,
Ekiti,Ido-Osi,156107.9381,,,,,,,,,,,,,,,,
Ekiti,Ijero,155667.9321,,,,,,,,,,,,,,,,
Ekiti,Ikere,125810.0766,,,,,,,,,,,,,,,,
Ekiti,Ikole,148907.5508,,,,,,,,,,,,,,,,
Ekiti,Ilejemeje,28278.8962,,,,,,,,,,,,,,,,
Ekiti,Irepodun-Ifelodun,114916.1097,,,,,,,,,,,,,,,,
Ekiti,Ise-Orun,82734.8123,,,,,,,,,,,,,,,,
